"Title","Internet sales as a percentage of total retail sales (ratio) (%)"
"CDID","J4MC"
"PreUnit",""
"Unit","%"
"Release date","24-07-2020"
"Next release","21 August 2020"
"2006 NOV","2.8"
"2006 DEC","2.5"
"2007 JAN","2.7"
"2007 FEB","2.8"
"2007 MAR","2.9"
"2007 APR","2.9"
"2007 MAY","3.1"
"2007 JUN","3.1"
"2007 JUL","3.3"
"2007 AUG","3.3"
"2007 SEP","3.6"
"2007 OCT","3.8"
"2007 NOV","4.4"
"2007 DEC","4.2"
"2008 JAN","4.4"
"2008 FEB","4.4"
"2008 MAR","4.5"
"2008 APR","4.6"
"2008 MAY","4.4"
"2008 JUN","4.7"
"2008 JUL","4.6"
"2008 AUG","4.8"
"2008 SEP","5.2"
"2008 OCT","5.3"
"2008 NOV","6.0"
"2008 DEC","5.8"
"2009 JAN","6.0"
"2009 FEB","5.9"
"2009 MAR","5.8"
"2009 APR","5.7"
"2009 MAY","5.7"
"2009 JUN","5.6"
"2009 JUL","5.9"
"2009 AUG","5.9"
"2009 SEP","6.1"
"2009 OCT","6.8"
"2009 NOV","7.9"
"2009 DEC","6.9"
"2010 JAN","7.1"
"2010 FEB","6.8"
"2010 MAR","6.5"
"2010 APR","6.6"
"2010 MAY","6.6"
"2010 JUN","6.4"
"2010 JUL","6.7"
"2010 AUG","7.1"
"2010 SEP","7.3"
"2010 OCT","7.9"
"2010 NOV","9.0"
"2010 DEC","8.5"
"2011 JAN","8.7"
"2011 FEB","7.9"
"2011 MAR","7.8"
"2011 APR","7.2"
"2011 MAY","7.5"
"2011 JUN","7.7"
"2011 JUL","7.7"
"2011 AUG","7.8"
"2011 SEP","8.3"
"2011 OCT","8.6"
"2011 NOV","10.3"
"2011 DEC","9.4"
"2012 JAN","9.4"
"2012 FEB","9.1"
"2012 MAR","8.8"
"2012 APR","8.9"
"2012 MAY","9.1"
"2012 JUN","8.5"
"2012 JUL","9.0"
"2012 AUG","8.3"
"2012 SEP","8.9"
"2012 OCT","9.4"
"2012 NOV","10.7"
"2012 DEC","10.9"
"2013 JAN","10.5"
"2013 FEB","10.0"
"2013 MAR","10.3"
"2013 APR","10.1"
"2013 MAY","9.8"
"2013 JUN","9.7"
"2013 JUL","9.5"
"2013 AUG","9.7"
"2013 SEP","10.1"
"2013 OCT","10.7"
"2013 NOV","12.1"
"2013 DEC","11.8"
"2014 JAN","11.1"
"2014 FEB","10.7"
"2014 MAR","10.8"
"2014 APR","10.6"
"2014 MAY","10.9"
"2014 JUN","10.7"
"2014 JUL","10.6"
"2014 AUG","10.7"
"2014 SEP","10.9"
"2014 OCT","11.5"
"2014 NOV","13.7"
"2014 DEC","12.8"
"2015 JAN","12.8"
"2015 FEB","11.7"
"2015 MAR","11.7"
"2015 APR","12.2"
"2015 MAY","11.7"
"2015 JUN","11.9"
"2015 JUL","11.8"
"2015 AUG","11.5"
"2015 SEP","12.1"
"2015 OCT","12.7"
"2015 NOV","15.5"
"2015 DEC","14.1"
"2016 JAN","14.2"
"2016 FEB","12.9"
"2016 MAR","13.0"
"2016 APR","13.5"
"2016 MAY","13.6"
"2016 JUN","13.9"
"2016 JUL","13.4"
"2016 AUG","13.7"
"2016 SEP","14.8"
"2016 OCT","15.5"
"2016 NOV","18.8"
"2016 DEC","17.1"
"2017 JAN","16.2"
"2017 FEB","15.2"
"2017 MAR","15.6"
"2017 APR","15.2"
"2017 MAY","15.4"
"2017 JUN","15.8"
"2017 JUL","15.5"
"2017 AUG","15.4"
"2017 SEP","16.0"
"2017 OCT","16.5"
"2017 NOV","19.9"
"2017 DEC","17.9"
"2018 JAN","17.7"
"2018 FEB","16.8"
"2018 MAR","17.3"
"2018 APR","17.2"
"2018 MAY","17.5"
"2018 JUN","17.5"
"2018 JUL","17.1"
"2018 AUG","16.7"
"2018 SEP","17.2"
"2018 OCT","18.1"
"2018 NOV","21.6"
"2018 DEC","19.7"
"2019 JAN","19.3"
"2019 FEB","18.3"
"2019 MAR","18.9"
"2019 APR","18.4"
"2019 MAY","18.8"
"2019 JUN","18.3"
"2019 JUL","18.6"
"2019 AUG","18.1"
"2019 SEP","18.1"
"2019 OCT","19.1"
"2019 NOV","21.5"
"2019 DEC","21.4"
"2020 JAN","20.1"
"2020 FEB","19.0"
"2020 MAR","21.9"
"2020 APR","30.1"
"2020 MAY","32.8"
"2020 JUN","31.2"
