Date,Open,High,Low,Close,Adj Close,Volume
2019-08-01,7.850000,8.360000,7.840000,8.200000,8.200000,70451700
2019-08-02,8.300000,8.360000,8.030000,8.190000,8.190000,27122600
2019-08-05,7.960000,8.150000,7.810000,7.920000,7.920000,34085700
2019-08-06,8.100000,8.270000,8.020000,8.180000,8.180000,24707100
2019-08-07,8.090000,8.490000,7.980000,8.440000,8.440000,30036700
2019-08-08,8.540000,8.660000,8.510000,8.530000,8.530000,22325300
2019-08-09,8.480000,8.640000,8.400000,8.530000,8.530000,20572800
2019-08-12,8.470000,8.500000,8.260000,8.280000,8.280000,19298000
2019-08-13,8.450000,8.570000,8.360000,8.460000,8.460000,22581600
2019-08-14,8.350000,8.660000,8.010000,8.110000,8.110000,52919000
2019-08-15,7.980000,8.320000,7.430000,7.690000,7.690000,63912900
2019-08-16,7.980000,8.000000,6.890000,7.120000,7.120000,66811400
2019-08-19,7.130000,7.220000,6.600000,6.730000,6.730000,55458700
2019-08-20,6.720000,7.110000,6.320000,7.060000,7.060000,75498000
2019-08-21,7.200000,7.280000,6.970000,7.180000,7.180000,36021500
2019-08-22,7.180000,7.200000,6.900000,6.900000,6.900000,20433100
2019-08-23,6.780000,7.090000,6.650000,6.790000,6.790000,30192600
2019-08-26,6.900000,6.940000,6.400000,6.480000,6.480000,29214400
2019-08-27,6.600000,6.850000,6.460000,6.850000,6.850000,29658700
2019-08-28,6.800000,7.040000,6.700000,7.000000,7.000000,30916200
2019-08-29,7.110000,7.370000,7.100000,7.310000,7.310000,31122600
2019-08-30,7.490000,7.730000,7.180000,7.730000,7.730000,58372400
2019-09-02,7.600000,7.940000,7.540000,7.790000,7.790000,27002600
2019-09-03,7.700000,7.920000,7.540000,7.560000,7.560000,27491300
2019-09-04,7.730000,7.760000,7.510000,7.620000,7.620000,22874500
2019-09-05,7.650000,7.730000,7.550000,7.550000,7.550000,18518900
2019-09-06,7.570000,7.590000,7.340000,7.380000,7.380000,17817200
2019-09-09,7.380000,7.400000,6.950000,7.010000,7.010000,33957500
2019-09-10,6.780000,6.840000,6.600000,6.780000,6.780000,55287800
2019-09-11,7.040000,7.080000,6.910000,6.980000,6.980000,40243600
2019-09-12,7.050000,7.170000,6.920000,7.100000,7.100000,19292900
2019-09-13,7.080000,7.160000,6.850000,6.910000,6.910000,17988200
2019-09-16,6.850000,7.040000,6.680000,6.950000,6.950000,15281100
2019-09-17,6.840000,7.080000,6.810000,6.970000,6.970000,16928500
2019-09-18,7.000000,7.110000,6.970000,7.030000,7.030000,15941500
2019-09-19,7.170000,7.480000,7.170000,7.400000,7.400000,45657300
2019-09-20,7.400000,7.570000,7.300000,7.400000,7.400000,27833700
2019-09-23,7.530000,7.600000,7.380000,7.560000,7.560000,26725000
2019-09-24,7.580000,7.640000,7.440000,7.470000,7.470000,20040000
2019-09-25,7.400000,7.680000,7.330000,7.640000,7.640000,21035000
2019-09-26,7.710000,7.880000,7.660000,7.860000,7.860000,26681900
2019-09-27,7.830000,7.980000,7.800000,7.870000,7.870000,17672000
2019-09-30,7.820000,7.950000,7.820000,7.920000,7.920000,14564300
2019-10-01,7.950000,8.030000,7.720000,7.800000,7.800000,21825100
2019-10-02,7.640000,7.660000,7.450000,7.470000,7.470000,28963900
2019-10-03,7.510000,7.800000,7.450000,7.800000,7.800000,27004900
2019-10-04,7.860000,7.940000,7.750000,7.890000,7.890000,17243300
2019-10-07,7.810000,7.950000,7.750000,7.830000,7.830000,15519900
2019-10-08,7.830000,7.870000,7.670000,7.720000,7.720000,16492600
2019-10-09,7.820000,7.860000,7.490000,7.590000,7.590000,28908700
2019-10-10,7.590000,7.660000,7.450000,7.530000,7.530000,16689900
2019-10-11,7.600000,7.860000,7.590000,7.750000,7.750000,24091600
2019-10-14,7.710000,7.870000,7.680000,7.780000,7.780000,15773800
2019-10-15,7.770000,7.860000,7.750000,7.790000,7.790000,15894800
2019-10-16,7.750000,7.850000,7.650000,7.820000,7.820000,18777600
2019-10-17,7.840000,8.060000,7.830000,7.900000,7.900000,27232700
2019-10-18,7.890000,7.960000,7.740000,7.840000,7.840000,14080100
2019-10-21,7.840000,7.860000,7.580000,7.810000,7.810000,26677700
2019-10-22,7.810000,7.880000,7.770000,7.810000,7.810000,16996700
2019-10-23,7.810000,7.860000,7.650000,7.650000,7.650000,16088500
2019-10-24,7.700000,7.710000,7.370000,7.490000,7.490000,24756100
2019-10-25,7.490000,7.640000,7.400000,7.430000,7.430000,16706800
2019-10-28,7.490000,7.630000,7.330000,7.360000,7.360000,21949600
2019-10-29,7.360000,7.510000,7.310000,7.350000,7.350000,34990000
2019-10-30,7.390000,7.500000,7.250000,7.400000,7.400000,30029800
2019-10-31,7.350000,7.420000,7.230000,7.420000,7.420000,29020200
2019-11-01,7.460000,7.650000,7.420000,7.640000,7.640000,22052600
2019-11-04,7.700000,7.790000,7.570000,7.570000,7.570000,21545400
2019-11-05,7.590000,7.610000,7.370000,7.380000,7.380000,27783800
2019-11-06,7.400000,7.490000,7.340000,7.450000,7.450000,16260300
2019-11-07,7.470000,7.540000,7.380000,7.420000,7.420000,15936300
2019-11-08,7.390000,7.390000,7.160000,7.250000,7.250000,24006100
2019-11-11,7.190000,7.330000,7.120000,7.310000,7.310000,19932300
2019-11-12,7.280000,7.290000,6.970000,7.090000,7.090000,27108100
2019-11-13,6.990000,7.100000,6.440000,7.020000,7.020000,64321100
2019-11-14,6.750000,7.600000,6.720000,7.600000,7.600000,90136800
2019-11-18,7.580000,7.710000,7.470000,7.560000,7.560000,32832500
2019-11-19,7.560000,7.680000,7.370000,7.450000,7.450000,18812000
2019-11-21,7.450000,7.660000,7.400000,7.550000,7.550000,21160300
2019-11-22,7.550000,7.870000,7.510000,7.860000,7.860000,35238100
2019-11-25,7.880000,8.020000,7.850000,7.930000,7.930000,24343200
2019-11-26,7.880000,7.950000,7.730000,7.950000,7.950000,20007600
2019-11-27,8.020000,8.280000,7.980000,8.270000,8.270000,39870900
2019-11-28,8.290000,8.600000,8.230000,8.590000,8.590000,48091300
2019-11-29,8.630000,8.960000,8.630000,8.810000,8.810000,52108500
2019-12-02,9.170000,9.240000,9.050000,9.170000,9.170000,52096400
2019-12-03,9.200000,9.530000,8.970000,9.500000,9.500000,57716700
2019-12-04,9.510000,9.930000,9.410000,9.450000,9.450000,63212400
2019-12-05,9.350000,9.560000,9.250000,9.320000,9.320000,34166400
2019-12-06,9.370000,10.040000,9.370000,10.000000,10.000000,64419800
2019-12-09,10.190000,10.460000,10.000000,10.230000,10.230000,57259800
2019-12-10,10.250000,10.360000,10.040000,10.200000,10.200000,28542500
2019-12-11,10.290000,10.360000,10.190000,10.320000,10.320000,25792100
2019-12-12,10.440000,11.180000,10.000000,10.000000,10.000000,72722100
2019-12-13,10.320000,10.870000,10.020000,10.870000,10.870000,152822000
2019-12-16,11.500000,11.600000,11.230000,11.250000,11.250000,72523700
2019-12-17,11.440000,11.560000,10.780000,10.990000,10.990000,75094300
2019-12-18,11.060000,11.280000,10.930000,11.260000,11.260000,40566500
2019-12-19,11.200000,11.270000,11.100000,11.240000,11.240000,24295200
2019-12-20,11.240000,11.370000,10.850000,11.370000,11.370000,43132000
2019-12-23,11.450000,11.760000,11.330000,11.670000,11.670000,34472600
2019-12-26,11.780000,12.030000,11.710000,11.800000,11.800000,32120200
2019-12-27,11.900000,11.960000,11.430000,11.500000,11.500000,36089000
2019-12-30,11.600000,11.670000,11.100000,11.170000,11.170000,32269200
2020-01-02,11.330000,11.760000,11.230000,11.730000,11.730000,40413200
2020-01-03,11.470000,12.000000,11.470000,11.480000,11.480000,59501300
2020-01-06,11.450000,11.680000,11.200000,11.480000,11.480000,35252200
2020-01-07,11.500000,11.650000,11.420000,11.650000,11.650000,28061600
2020-01-08,11.610000,11.830000,11.450000,11.600000,11.600000,31668200
2020-01-09,11.680000,11.790000,11.580000,11.660000,11.660000,28186700
2020-01-10,11.730000,11.760000,11.610000,11.700000,11.700000,25220900
2020-01-13,11.770000,12.700000,11.750000,12.700000,12.700000,63655600
2020-01-14,12.700000,13.360000,12.610000,13.350000,13.350000,62864700
2020-01-15,13.270000,13.560000,13.100000,13.550000,13.550000,46573300
2020-01-16,13.700000,14.030000,13.380000,13.590000,13.590000,68458000
2020-01-17,13.780000,13.870000,13.210000,13.730000,13.730000,38757600
2020-01-20,13.770000,14.250000,13.650000,14.010000,14.010000,51978100
2020-01-21,13.830000,14.370000,13.780000,14.320000,14.320000,35784700
2020-01-22,14.600000,15.030000,14.500000,15.000000,15.000000,50320000
2020-01-23,14.930000,15.190000,14.800000,15.160000,15.160000,51184100
2020-01-24,15.250000,15.430000,14.500000,15.000000,15.000000,49654600
2020-01-27,14.370000,14.600000,13.860000,13.900000,13.900000,54423200
2020-01-28,14.180000,14.700000,14.170000,14.640000,14.640000,50844800
2020-01-29,14.930000,15.050000,14.310000,14.450000,14.450000,42528800
2020-01-30,13.950000,14.650000,13.680000,14.650000,14.650000,53726100
2020-01-31,14.290000,14.810000,14.000000,14.000000,14.000000,49717200
2020-02-03,14.250000,14.580000,14.030000,14.490000,14.490000,29454900
2020-02-04,15.000000,15.040000,14.820000,14.950000,14.950000,36181300
2020-02-05,15.200000,15.320000,14.980000,15.140000,15.140000,28269200
2020-02-06,15.300000,15.340000,14.680000,14.850000,14.850000,31083700
2020-02-07,14.650000,14.800000,14.260000,14.320000,14.320000,30743600
2020-02-10,14.330000,14.760000,13.560000,13.790000,13.790000,46664200
2020-02-11,14.100000,14.620000,13.890000,14.620000,14.620000,32376200
2020-02-12,14.760000,15.080000,14.620000,14.990000,14.990000,44310800
2020-02-13,14.500000,15.060000,14.300000,15.010000,15.010000,35950900
2020-02-14,15.050000,15.260000,14.560000,14.730000,14.730000,32671800
2020-02-17,14.900000,15.240000,14.810000,15.100000,15.100000,28680500
2020-02-18,14.900000,15.130000,14.780000,14.970000,14.970000,21671300
2020-02-19,15.040000,16.049999,14.920000,15.900000,15.900000,54556200
2020-02-20,16.129999,16.440001,15.770000,15.950000,15.950000,46009600
2020-02-21,15.700000,16.639999,15.570000,16.639999,16.639999,52900600
2020-02-26,null,null,null,null,null,null
2020-02-27,14.700000,15.200000,13.800000,14.080000,14.080000,76959900
2020-02-28,13.900000,14.020000,13.030000,13.810000,13.810000,86209400
2020-03-02,14.000000,14.670000,13.940000,14.340000,14.340000,64050300
2020-03-03,14.450000,15.140000,14.100000,14.370000,14.370000,63706800
2020-03-04,15.000000,15.010000,14.380000,14.980000,14.980000,37968200
2020-03-05,14.600000,14.740000,13.430000,13.960000,13.960000,53576100
2020-03-06,12.650000,12.840000,11.390000,11.560000,11.560000,131293300
2020-03-09,9.060000,10.260000,8.660000,9.580000,9.580000,89246100
2020-03-10,10.950000,11.930000,9.940000,11.620000,11.620000,86457500
2020-03-11,10.900000,11.650000,9.820000,11.000000,11.000000,87963900
2020-03-12,9.000000,9.540000,7.700000,8.500000,8.500000,64761300
2020-03-13,10.390000,10.390000,8.200000,9.710000,9.710000,103372800
2020-03-16,7.950000,9.050000,7.560000,7.560000,7.560000,94080300
2020-03-17,8.010000,8.070000,7.000000,7.040000,7.040000,113804500
2020-03-18,6.190000,6.230000,4.170000,4.820000,4.820000,175974100
2020-03-19,4.500000,5.380000,4.110000,5.110000,5.110000,113412800
2020-03-20,5.720000,5.850000,4.970000,4.970000,4.970000,119230500
