End of Period,Loan Number,Region,Country Code,Country,Borrower,Guarantor Country Code,Guarantor,Loan Type,Loan Status,Interest Rate,Currency of Commitment,Project ID,Project Name,Original Principal Amount,Cancelled Amount,Undisbursed Amount,Disbursed Amount,Repaid to IBRD,Due to IBRD,Exchange Adjustment,Borrower's Obligation,Sold 3rd Party,Repaid 3rd Party,Due 3rd Party,Loans Held,First Repayment Date,Last Repayment Date,Agreement Signing Date,Board Approval Date,Effective Date (Most Recent),Closed Date (Most Recent),Last Disbursement Date
06/30/2020,IBRD00111,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,NPL,Fully Repaid,4.5,,P006214,POWER AND TELEPHONE,75000000.00,0.00,0.00,75000000.00,70971588.97,0.00,-0.02,-0.02,4028411.03,4028411.03,0.00,0.00,07/01/1953,01/01/1974,01/27/1949,01/27/1949,05/09/1949,12/31/1953,
06/30/2020,IBRD00112,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,NPL,Fully Repaid,4.25,,P006214,POWER AND TELEPHONE,15000000.00,0.00,0.00,15000000.00,15000000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,07/01/1955,01/01/1976,01/18/1951,01/16/1951,04/10/1951,12/31/1954,
06/30/2020,IBRD00250,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,NPL,Fully Repaid,4.25,,P006215,POWER,15000000.00,0.00,0.00,15000000.00,15000000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,09/15/1954,03/15/1975,05/26/1950,05/26/1950,07/27/1950,12/31/1956,
06/30/2020,IBRD00640,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,NPL,Fully Cancelled,4.75,,P006217,POWER,25000000.00,25000000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11/15/1957,11/15/1957,06/27/1952,06/27/1952,01/17/1953,06/30/1957,
06/30/2020,IBRD00650,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,NPL,Fully Repaid,4.63,,P006218,RAILWAY REHABILITATI,12500000.00,0.00,0.00,12500000.00,12500000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11/15/1955,05/15/1967,06/27/1952,06/27/1952,01/17/1953,03/31/1960,
06/30/2020,IBRD00750,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,NPL,Fully Repaid,4.25,,P006219,RIO DE JANEIRO HIGHW,3000000.00,18945.52,0.00,2981054.48,2981054.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,07/15/1954,01/15/1959,04/30/1953,04/30/1953,11/05/1953,06/30/1957,
06/30/2020,IBRD00760,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,NPL,Fully Repaid,5,,P006220,ITUTINGA HYDROELECTR,7300000.00,0.00,0.00,7300000.00,6253000.00,0.00,0.00,0.00,1047000.00,1047000.00,0.00,0.00,01/15/1957,07/15/1973,07/17/1953,07/16/1953,11/06/1953,12/31/1956,
06/30/2020,IBRD00920,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,NPL,Fully Repaid,4.88,,P006223,BRASIL SUBURBAN CAR,12500000.00,0.00,0.00,12500000.00,12500000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,07/01/1959,01/01/1969,12/18/1953,12/17/1953,09/02/1954,12/31/1957,
06/30/2020,IBRD00930,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,NPL,Fully Repaid,5,,P006221,SALTO GRANDE HYDRO,10000000.00,0.00,0.00,10000000.00,10000000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,07/01/1958,01/01/1974,12/18/1953,12/17/1953,03/03/1954,09/30/1959,
06/30/2020,IBRD00950,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,NPL,Fully Repaid,4.88,,P006222,PIRATININGA ELEC. PO,18790000.00,0.00,0.00,18790000.00,18790000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,09/01/1955,03/01/1974,02/24/1954,02/18/1954,06/08/1954,06/30/1956,
